txt_r1,txt_r5,txt_r10,txt_r_mean,img_r1,img_r5,img_r10,img_r_mean,r_mean,agg_metrics,model_size,visual_encoder_block_modules,visual_encoder_block_indices,visual_encoder_block_weight_bits,qformer_layer_indices,qformer_self_attention_modules,qformer_self_attention_weight_bits,qformer_cross_attention_modules,qformer_cross_attention_weight_bits,qformer_text_ff_modules,qformer_text_ff_weight_bits,qformer_img_ff_modules,qformer_img_ff_weight_bits,job_batch,vit_attn,vit_ff,vit_front_blocks,vit_middle_blocks,vit_end_blocks,vit_weight_bits,qformer_front_blocks,qformer_middle_blocks,qformer_end_blocks,qformer_self_attn,qformer_cross_attn,qformer_text_ff,qformer_img_ff,qformer_weight_bits,Quantized Portion
0.0,0.0,0.4,0.13333333333333333,0.1,0.34,0.72,0.3866666666666667,0.26,0.13333333333333333,4324.694484,"['qkv', 'proj']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,False,True,False,False,2.0,True,False,False,False,False,True,False,2.0,ViT + Q-Former
0.0,0.1,0.3,0.13333333333333333,0.06,0.22,0.56,0.28,0.20666666666666667,0.13333333333333333,4711.343604,,,,"[0, 1, 2, 3]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_qformer,False,False,False,False,False,,True,False,False,False,False,True,False,2.0,Q-Former
0.0,0.2,0.2,0.13333333333333333,0.14,0.3,0.72,0.38666666666666666,0.26,0.13333333333333333,4640.507124,,,,"[0, 1, 2, 3, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_qformer,False,False,False,False,False,,True,False,True,False,False,True,False,2.0,Q-Former
0.0,0.3,0.4,0.2333333333333333,0.14,0.42,0.62,0.39333333333333337,0.31333333333333335,0.2333333333333333,4264.168404,"['qkv', 'proj']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,False,True,False,False,2.0,True,False,False,True,True,True,False,2.0,ViT + Q-Former
0.0,0.3,0.7,0.3333333333333333,0.16,0.6,1.08,0.6133333333333334,0.4733333333333334,0.3333333333333333,3807.001044,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[4, 5, 6, 7]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,False,True,False,True,False,2.0,False,True,False,True,True,True,False,2.0,ViT + Q-Former
0.0,0.3,0.8,0.3666666666666667,0.18,0.54,0.92,0.5466666666666667,0.4566666666666667,0.3666666666666667,2179.575924,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,True,False,True,2.0,True,False,True,False,False,True,False,2.0,ViT + Q-Former
0.0,0.3,0.9,0.39999999999999997,0.1,0.42,1.0,0.5066666666666667,0.45333333333333337,0.39999999999999997,1916.850804,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,True,False,True,2.0,True,False,True,True,True,True,True,2.0,ViT + Q-Former
0.0,0.3,1.0,0.43333333333333335,0.12,0.5,1.02,0.5466666666666667,0.49000000000000005,0.43333333333333335,2952.874164,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,False,True,False,True,True,2.0,False,True,True,False,False,True,False,2.0,ViT + Q-Former
0.0,0.3,1.3,0.5333333333333333,0.2,0.9,1.68,0.9266666666666667,0.73,0.5333333333333333,3807.001044,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[4, 5, 6, 7]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,,2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,False,True,False,True,False,2.0,False,True,False,True,True,False,True,2.0,ViT + Q-Former
0.0,0.4,0.6,0.3333333333333333,0.02,0.26,0.56,0.28,0.30666666666666664,0.3333333333333333,4650.817524,,,,"[0, 1, 2, 3]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_qformer,False,False,False,False,False,,True,False,False,True,True,True,False,2.0,Q-Former
