txt_r1,txt_r5,txt_r10,img_r1,img_r5,img_r10,Quantized Portion,file_name,weight_bits,activation_bits
97.6,100.0,100.0,89.74,98.18,98.94,baseline,baseline,32.0,32.0
94.1,99.9,100.0,84.18,96.72,98.1,Q-Former (Img) Attention,qformer_image_w2_a32.2720376,2.0,32.0
97.8,100.0,100.0,89.46,98.12,99.12,Q-Former (Img) Attention,qformer_image_w4_a32.2720373,4.0,32.0
97.5,100.0,100.0,89.62,98.06,99.06,Q-Former (Img) Attention,qformer_image_w6_a32.2720375,6.0,32.0
97.6,100.0,100.0,89.64,98.08,99.1,Q-Former (Img) Attention,qformer_image_w8_a32.2720381,8.0,32.0
97.6,100.0,100.0,89.68,98.16,98.98,Q-Former (Img) Feed-Forward,qformer_img_proj_w158_a32.2721325,1.58,32.0
97.6,100.0,100.0,89.7,98.18,98.96,Q-Former (Img) Feed-Forward,qformer_img_proj_w1_a32.2721289,1.0,32.0
97.6,100.0,100.0,89.7,98.18,99.0,Q-Former (Img) Feed-Forward,qformer_img_proj_w2_a32.2721288,2.0,32.0
97.6,100.0,100.0,89.76,98.18,98.94,Q-Former (Img) Feed-Forward,qformer_img_proj_w4_a32.2721286,4.0,32.0
97.6,100.0,100.0,89.72,98.18,98.92,Q-Former (Img) Feed-Forward,qformer_img_proj_w6_a32.2721284,6.0,32.0
97.6,100.0,100.0,89.72,98.18,98.92,Q-Former (Img) Feed-Forward,qformer_img_proj_w8_a32.2721279,8.0,32.0
97.6,100.0,100.0,89.7,98.2,98.94,Q-Former (Text) Feed-Forward,qformer_text_proj_w158_a32.2721297,1.58,32.0
97.6,100.0,100.0,89.78,98.16,98.92,Q-Former (Text) Feed-Forward,qformer_text_proj_w1_a32.2721275,1.0,32.0
97.6,100.0,100.0,89.66,98.16,98.94,Q-Former (Text) Feed-Forward,qformer_text_proj_w2_a32.2721260,2.0,32.0
97.6,100.0,100.0,89.72,98.18,98.96,Q-Former (Text) Feed-Forward,qformer_text_proj_w4_a32.2721294,4.0,32.0
97.6,100.0,100.0,89.7,98.18,98.94,Q-Former (Text) Feed-Forward,qformer_text_proj_w6_a32.2721252,6.0,32.0
97.6,100.0,100.0,89.7,98.18,98.92,Q-Former (Text) Feed-Forward,qformer_text_proj_w8_a32.2721249,8.0,32.0
97.6,100.0,100.0,89.74,98.18,98.94,Q-Former (Text) Attention,qformer_text_w2_a32.2720471,2.0,32.0
97.5,100.0,100.0,89.76,98.2,98.96,Q-Former (Text) Attention,qformer_text_w4_a32.2720469,4.0,32.0
97.5,100.0,100.0,89.74,98.2,98.94,Q-Former (Text) Attention,qformer_text_w6_a32.2720477,6.0,32.0
97.5,100.0,100.0,89.74,98.2,98.94,Q-Former (Text) Attention,qformer_text_w8_a32.2720460,8.0,32.0
69.8,89.7,94.5,68.26,89.38,93.36,Q-Former (Img + Text) Attention,qformer_w158_a32.2721311,1.58,32.0
0.2,0.5,1.1,0.16,0.64,1.24,Q-Former (Img + Text) Attention,qformer_w1_a32.2721305,1.0,32.0
84.7,98.4,99.7,72.7,91.68,95.18,Q-Former (Img + Text) Attention,qformer_w2_a32,2.0,32.0
97.8,100.0,100.0,88.72,98.1,99.04,Q-Former (Img + Text) Attention,qformer_w4_a32,4.0,32.0
97.7,100.0,100.0,89.02,98.04,98.98,Q-Former (Img + Text) Attention,qformer_w6_a32,6.0,32.0
97.9,99.9,100.0,89.04,98.0,99.0,Q-Former (Img + Text) Attention,qformer_w8_a32,8.0,32.0
58.0,76.6,83.0,56.7,76.12,81.72,ViT Attention,vit_w158_a32,1.58,32.0
0.1,0.4,0.9,0.06,0.4,0.92,ViT Attention,vit_w1_a32.2721340,1.0,32.0
18.0,30.4,37.8,19.14,34.06,41.46,ViT Attention,vit_w2_a32,2.0,32.0
52.7,70.2,76.1,47.2,67.5,74.72,ViT Attention,vit_w4_a32,4.0,32.0
54.2,71.5,78.2,49.04,69.46,76.7,ViT Attention,vit_w6_a32,6.0,32.0
55.2,72.2,78.1,49.52,70.14,77.38,ViT Attention,vit_w8_a32,8.0,32.0
